release_year,runtime,seasons,imdb_score,type,title
1934,19,26.0,8.6,SHOW,The Three Stooges
1926,78,0.0,8.2,MOVIE,The General
1946,171,0.0,8.1,MOVIE,The Best Years of Our Lives
1940,92,0.0,7.8,MOVIE,His Girl Friday
1950,94,0.0,7.9,MOVIE,In a Lonely Place
1939,96,0.0,7.8,MOVIE,Stagecoach
1946,130,0.0,8.6,MOVIE,It's a Wonderful Life
1945,66,0.0,7.3,MOVIE,Detour
1936,95,0.0,8.0,MOVIE,My Man Godfrey
1936,57,0.0,4.0,MOVIE,Marihuana
1916,197,0.0,7.7,MOVIE,Intolerance: Love's Struggle Throughout the Ages
1946,95,0.0,7.3,MOVIE,The Stranger
1925,101,0.0,7.5,MOVIE,The Phantom of the Opera
1938,66,0.0,3.7,MOVIE,Tell Your Children
1932,63,0.0,7.1,MOVIE,The Most Dangerous Game
1939,104,0.0,7.5,MOVIE,Wuthering Heights
1944,99,0.0,7.6,MOVIE,The Woman in the Window
1928,70,0.0,7.8,MOVIE,"Steamboat Bill, Jr."
1941,115,0.0,7.9,MOVIE,The Little Foxes
1937,106,0.0,7.4,MOVIE,Stella Dallas
1936,101,0.0,7.8,MOVIE,Dodsworth
1950,100,0.0,7.0,MOVIE,Sands of Iwo Jima
1942,128,0.0,7.6,MOVIE,The Pride of the Yankees
1936,89,0.0,6.6,MOVIE,Things to Come
1950,112,0.0,7.4,MOVIE,Cyrano de Bergerac
1945,103,0.0,7.8,MOVIE,Scarlet Street
1939,92,0.0,6.3,MOVIE,Made for Each Other
1924,149,0.0,7.7,MOVIE,The Thief of Bagdad
1950,83,0.0,7.2,MOVIE,D.O.A.
1942,106,0.0,6.7,MOVIE,Jungle Book
1939,88,0.0,7.3,MOVIE,Love Affair
1947,109,0.0,7.6,MOVIE,The Bishop's Wife
1934,83,0.0,7.0,MOVIE,Of Human Bondage
1940,90,0.0,6.5,MOVIE,Our Town
1939,93,0.0,7.1,MOVIE,The Little Princess
1950,76,0.0,6.3,MOVIE,The Jackie Robinson Story
1947,105,0.0,6.9,MOVIE,The Secret Life of Walter Mitty
1946,115,0.0,7.4,MOVIE,The Strange Love of Martha Ivers
1942,102,0.0,6.7,MOVIE,Flying Tigers
1925,120,0.0,7.2,MOVIE,Lady Windermere's Fan
1937,93,0.0,7.3,MOVIE,Dead End
1941,122,0.0,7.6,MOVIE,Meet John Doe
1931,101,0.0,6.2,MOVIE,The Front Page
1932,67,0.0,6.3,MOVIE,White Zombie
1932,80,0.0,6.0,MOVIE,Bird of Paradise
1925,93,0.0,7.0,MOVIE,The Lost World
1941,123,0.0,7.3,MOVIE,49th Parallel
1933,90,0.0,7.0,MOVIE,The Private Life of Henry VIII
1945,92,0.0,7.1,MOVIE,The Southerner
1943,134,0.0,7.4,MOVIE,Hangmen Also Die!
